miot;maść;płeć;masa ciała urodzeniowa;1 tydzień;2 tydzień;3 tydzień;4 tydzień;5 tydzień;6 tydzień;7 tydzień;8 tydzień
15;blond;F;650;790;1110;1680;2370;3180;;5100;
15;blond;M;620;750;1030;1640;2130;2400;;4000;
16;czarna;M;490;670;950;1260;1654;;3080;;
16;czarna podpalana;F;400;510;735;1020;1420;;3050;;
16;czarna podpalana;M;500;710;997;1300;1700;;2850;;
16;czarna;F;500;650;930;1260;1680;;3540;;
16;czarna podpalana;M;500;660;996;1324;1730;;2930;;
16;czarna;F;450;660;920;1240;1690;;3380;;
16;czarna podpalana;F;510;660;1010;1330;1724;;3550;;
16;blond;M;450;;;;;;;;
17;czarna podpalana;F;460;802;1032;1310;1650;2330;;;
17;czarna podpalana;M;496;812;1050;1370;1860;2450;;;
17;czarna podpalana;M;440;716;924;1180;1680;2350;;;
17;czarna podpalana;M;560;826;1064;1420;1720;2410;;;
17;czarna podpalana;F;505;782;944;1250;1740;2470;;;
17;czarna podpalana;F;360;680;834;1110;1420;2090;;;
17;czarna podpalana;F;460;786;1020;1330;2000;2460;;;
17;czarna podpalana;F;540;924;1250;1570;2170;2690;;;
18;czarna podpalana;M;636;976;1430;1720;2160;;3470;5560;
18;czarna podpalana;F;618;940;1400;1570;1960;;3400;5340;
18;czarna podpalana;M;638;982;1470;1780;2290;;3750;5710;
18;czarna podpalana;M;606;1020;1480;1810;2310;;3840;5700;
18;czarna podpalana;M;642;978;1490;1790;2260;;3650;5640;
18;czarna podpalana;F;596;968;1420;1790;2340;;3850;5570;
19;czarna podpalana;M;575;1100;1560;2034;3540;;5670;;8200
20;czarna podpalana;F;502;814;1180;1720;1380;3340;;;
20;czarna podpalana;M;502;774;1210;1740;2290;3300;;;
20;czarna podpalana;F;490;806;1250;1830;2550;3410;;;
20;czarna podpalana;F;448;774;1110;1630;2290;3050;;;
20;czarna podpalana;F;510;856;1280;1810;2390;3230;;;
20;czarna podpalana;F;440;;;;;;;;
20;czarna podpalana;F;536;864;1320;1830;2560;3470;;;
20;czarna podpalana;F;544;880;1330;1860;2530;3550;;;
21;czarna;M;580;858;1280;1670;2480;2890;3960;4900;6850
21;czarna podpalana;M;490;696;1100;1430;2060;2310;3060;3900;5800
21;czarna podpalana;M;624;772;1200;1530;2400;2650;3660;4700;6400
21;czarna podpalana;M;540;644;918;1160;1800;2200;2940;3700;5200
21;blond;F;530;876;1418;1840;2910;3380;4410;5400;7400
21;czarna;M;526;731;1030;1320;1910;2280;3170;4100;6080
