"litter_id","color","gender","birth_weight","weight_1_week","weight_2_week","weight_3_week","weight_4_week","weight_5_week","weight_6_week","weight_7_week","weight_8_week","id"
9,"czarna podpalana","F",496,630,940,1500,2300,2900,4050,NULL,6350,78
9,"czarna podpalana","M",500,630,920,1500,2450,3300,4700,NULL,7850,79
9,"blond","M",456,630,1200,1750,2600,3500,4700,NULL,7200,80
9,"czarna podpalana","F",475,580,1000,1550,2200,3000,4350,NULL,6500,81
11,"czarna podpalana","M",570,950,1880,NULL,NULL,NULL,NULL,NULL,6000,82
11,"blond","M",440,680,1420,NULL,NULL,NULL,NULL,NULL,5500,83
11,"czarna podpalana","M",400,730,1450,NULL,NULL,NULL,NULL,NULL,6000,84
11,"blond","F",350,690,1450,NULL,NULL,NULL,NULL,NULL,6000,85
11,"czarna podpalana","F",350,690,1300,NULL,NULL,NULL,NULL,NULL,5300,86
11,"blond","M",350,710,1350,NULL,NULL,NULL,NULL,NULL,5100,87
12,"czarna podpalana","M",600,1080,1750,2330,3000,4200,NULL,7200,NULL,88
12,"czarna podpalana","F",530,740,1220,1570,2250,3150,NULL,5200,NULL,89
12,"czarna podpalana","M",410,680,1300,1770,2490,3650,NULL,6300,NULL,90
12,"czarna podpalana","M",590,880,1450,2130,2790,4000,NULL,6600,NULL,91
12,"czarna podpalana","F",610,1000,1650,2100,2850,3800,NULL,6200,NULL,92
12,"czarna podpalana","M",610,740,1250,1650,2360,3300,NULL,5500,NULL,93
12,"blond","M",570,900,1580,2070,2950,3950,NULL,6800,NULL,94
13,"blond","M",530,880,NULL,NULL,3000,NULL,NULL,NULL,6700,95
13,"blond","M",530,900,NULL,NULL,3150,NULL,NULL,NULL,7000,96
13,"czarna","F",560,890,NULL,NULL,3450,NULL,NULL,NULL,7700,97
13,"czarna podpalana","F",520,890,NULL,NULL,3250,NULL,NULL,NULL,6300,98
13,"czarna","M",570,890,NULL,NULL,6500,NULL,NULL,NULL,7500,99
13,"czarna","M",600,890,NULL,NULL,3300,NULL,NULL,NULL,NULL,100
14,"czarna podpalana","F",600,1350,1800,2500,3180,4450,NULL,NULL,NULL,101
14,"blond","M",600,1240,1650,2050,3000,4450,NULL,NULL,NULL,102
14,"blond","F",600,1240,1650,2300,2880,4450,NULL,NULL,NULL,103
15,"blond","F",580,900,1220,1980,2900,3200,NULL,5000,NULL,104
15,"czarna","M",650,900,1260,1980,2700,3120,NULL,4350,NULL,105
15,"czarna podpalana","F",620,780,100,1630,2350,2620,NULL,4450,NULL,106
15,"czarna","M",630,870,1260,1950,2300,3000,NULL,4300,NULL,107
15,"blond","F",650,790,1110,1680,2370,3180,NULL,5100,NULL,108
15,"blond","M",620,750,1030,1640,2130,2400,NULL,4000,NULL,109
16,"czarna","M",490,670,950,1260,1654,NULL,3080,NULL,NULL,110
16,"czarna podpalana","F",400,510,735,1020,1420,NULL,3050,NULL,NULL,111
16,"czarna podpalana","M",500,710,997,1300,1700,NULL,2850,NULL,NULL,112
16,"czarna","F",500,650,930,1260,1680,NULL,3540,NULL,NULL,113
16,"czarna podpalana","M",500,660,996,1324,1730,NULL,2930,NULL,NULL,114
16,"czarna","F",450,660,920,1240,1690,NULL,3380,NULL,NULL,115
16,"czarna podpalana","F",510,660,1010,1330,1724,NULL,3550,NULL,NULL,116
16,"blond","M",450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117
17,"czarna podpalana","F",460,802,1032,1310,1650,2330,NULL,NULL,NULL,118
17,"czarna podpalana","M",496,812,1050,1370,1860,2450,NULL,NULL,NULL,119
17,"czarna podpalana","M",440,716,924,1180,1680,2350,NULL,NULL,NULL,120
17,"czarna podpalana","M",560,826,1064,1420,1720,2410,NULL,NULL,NULL,121
17,"czarna podpalana","F",505,782,944,1250,1740,2470,NULL,NULL,NULL,122
17,"czarna podpalana","F",360,680,834,1110,1420,2090,NULL,NULL,NULL,123
17,"czarna podpalana","F",460,786,1020,1330,2000,2460,NULL,NULL,NULL,124
17,"czarna podpalana","F",540,924,1250,1570,2170,2690,NULL,NULL,NULL,125
18,"czarna podpalana","M",636,976,1430,1720,2160,NULL,3470,5560,NULL,126
18,"czarna podpalana","F",618,940,1400,1570,1960,NULL,3400,5340,NULL,127
18,"czarna podpalana","M",638,982,1470,1780,2290,NULL,3750,5710,NULL,128
18,"czarna podpalana","M",606,1020,1480,1810,2310,NULL,3840,5700,NULL,129
18,"czarna podpalana","M",642,978,1490,1790,2260,NULL,3650,5640,NULL,130
18,"czarna podpalana","F",596,968,1420,1790,2340,NULL,3850,5570,NULL,131
19,"czarna podpalana","M",575,1100,1560,2034,3540,NULL,5670,NULL,8200,132
20,"czarna podpalana","F",502,814,1180,1720,1380,3340,NULL,NULL,NULL,133
20,"czarna podpalana","M",502,774,1210,1740,2290,3300,NULL,NULL,NULL,134
20,"czarna podpalana","F",490,806,1250,1830,2550,3410,NULL,NULL,NULL,135
20,"czarna podpalana","F",448,774,1110,1630,2290,3050,NULL,NULL,NULL,136
20,"czarna podpalana","F",510,856,1280,1810,2390,3230,NULL,NULL,NULL,137
20,"czarna podpalana","F",440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138
20,"czarna podpalana","F",536,864,1320,1830,2560,3470,NULL,NULL,NULL,139
20,"czarna podpalana","F",544,880,1330,1860,2530,3550,NULL,NULL,NULL,140
21,"czarna","M",580,858,1280,1670,2480,2890,3960,4900,6850,141
21,"czarna podpalana","M",490,696,1100,1430,2060,2310,3060,3900,5800,142
21,"czarna podpalana","M",624,772,1200,1530,2400,2650,3660,4700,6400,143
21,"czarna podpalana","M",540,644,918,1160,1800,2200,2940,3700,5200,144
21,"blond","F",530,876,1418,1840,2910,3380,4410,5400,7400,145
21,"czarna","M",526,731,1030,1320,1910,2280,3170,4100,6080,146
